predict,actual
75.96135,70
74.49057,75
74.78124,70
73.066505,78
76.84412,79
77.78688,88
77.96277,89
80.441765,83
79.150215,86
78.554245,80
77.52868,78
76.81189,75
75.52895,69
69.63933,68
73.36544,67
71.463745,67
70.339005,67
70.776535,69
71.78492,71
74.49707,72
71.604546,78
77.281425,72
74.31513,73
73.66187,75
74.029625,81
77.05207,69
72.1762,73
71.46079,66
71.71702,69
71.82621,72
73.07998,65
68.534,66
69.9969,68
69.92026,65
66.307175,69
70.65386,76
75.22512,76
74.78908,69
70.61573,68
69.66906,65
66.834236,68
67.51605,61
65.9668,66
68.738266,63
65.13879,62
64.8473,68
68.41124,61
65.26659,63
63.691845,66
67.49636,58
61.43815,58
61.845234,63
63.942516,66
67.464455,62
64.766464,59
60.203205,61
63.04329,59
61.485634,58
61.38388,63
63.47908,60
61.550194,61
61.78802,59
58.644287,62
62.3371,60
61.845856,60
61.21282,66
64.973404,56
57.806873,60
60.148563,64
59.983887,68
64.91728,57
57.672543,59
57.906284,56
56.263954,63
62.600296,63
60.090508,57
58.23593,63
62.66651,65
62.947594,71
65.23993,65
63.06066,65
63.06785,64
60.600464,58
56.219963,53
53.275917,57
56.454475,55
53.66886,51
52.615387,51
52.508537,54
51.55759,59
56.78733,56
55.403717,52
53.07801,56
54.366543,50
51.52426,50
50.717636,54
52.157043,53
50.813255,50
50.859474,54
53.416862,50
49.544067,54
50.6968,44
43.640602,51
49.121788,47
47.01452,47
46.312733,38
39.311996,44
44.123817,38
39.095356,41
42.84608,35
37.62947,45
45.206894,42
42.78321,41
41.993546,39
40.08966,41
42.36023,37
39.669823,36
38.538666,37
40.516766,38
41.049896,45
46.157375,51
49.31047,51
49.40119,45
46.635757,39
41.48302,43
44.30862,43
46.110268,40
42.752995,46
45.488503,50
50.680687,46
46.929073,58
52.608833,39
42.371574,47
48.420006,43
46.656593,41
42.19844,38
41.362938,43
47.358288,51
49.921223,45
48.326256,45
46.020275,49
50.03135,51
49.89984,44
47.442642,53
55.547047,55
54.330082,48
49.53431,49
50.951836,55
54.97422,52
51.272835,55
57.175804,50
53.11306,55
55.064552,50
50.801006,57
55.964233,49
49.795216,51
52.16205,50
53.384933,55
55.861958,59
57.764126,59
56.38133,49
50.656734,49
50.21087,49
47.927197,47
50.370255,48
51.425037,51
52.29025,47
48.709137,51
51.430206,45
48.9683,53
52.023754,55
56.96497,62
59.570953,52
53.60585,55
54.51483,59
57.578934,53
55.73871,59
58.86663,61
59.939804,52
54.035255,51
53.436077,52
53.73642,51
52.04398,51
55.071583,56
56.661243,61
60.904556,65
61.24867,57
57.802296,54
54.40447,55
55.99713,60
59.79623,54
54.364735,63
60.92842,59
59.299282,61
59.72485,59
57.298065,51
54.03737,54
55.686813,57
58.783836,53
54.72837,55
56.891197,49
53.208668,55
55.99556,51
56.209736,51
55.353947,57
59.35835,58
59.68524,66
65.51602,61
61.470623,56
57.50152,55
58.43351,55
58.899384,51
54.80246,51
53.89738,56
58.997704,60
61.356808,52
55.478657,54
59.531185,64
63.804443,67
66.24592,74
71.52566,70
66.75119,62
64.47742,66
64.92518,59
61.019955,55
58.292213,66
68.35309,81
74.74469,77
70.15757,66
66.27955,58
59.85879,58
62.348503,57
59.874565,62
63.771942,55
58.290897,59
61.679893,71
70.16123,74
72.97506,90
78.980995,79
73.319984,84
77.18216,71
68.57588,63
64.648186,67
67.974754,59
63.085903,63
66.855415,57
61.49263,61
64.05426,63
63.739132,60
63.320026,68
70.46184,81
76.45072,85
76.5062,75
71.24205,64
66.78511,67
68.61281,80
73.17105,80
75.22715,62
65.39728,64
68.19967,73
72.00594,84
77.77183,75
72.72991,84
75.34365,64
68.01607,59
64.61496,60
66.62623,68
69.39279,64
68.41531,62
66.906235,67
68.152084,59
64.30346,65
69.054504,67
72.11975,66
67.794235,69
71.07677,66
67.63849,66
68.43543,62
66.57558,60
65.513725,68
71.85983,79
74.42437,73
73.40902,71
73.273705,82
74.65455,83
77.4657,94
80.747925,90
78.47357,86
75.84551,66
69.90961,63
68.81593,69
70.57145,61
69.34682,69
73.222916,65
70.903625,64
69.010284,68
71.45412,72
74.37929,67
69.87054,67
72.71644,71
74.47376,75
76.33045,77
75.03948,75
76.08125,72
74.239174,69
71.583046,71
73.85955,82
78.86312,83
78.840744,77
76.11593,73
75.32611,75
76.71785,80
74.696465,76
76.54716,71
74.16014,71
72.960335,71
72.63484,77
76.70135,66
73.07508,72
72.63899,70
75.31495,72
76.15386,72
74.23203,74
75.0071,76
76.811,75
76.61909,76
74.801125,73
76.78719,82
79.38389,71
75.36615,81
77.63346,82
78.73521,79
78.08571,71
72.84388,72
75.76031,77
78.2963,83
79.37162,82
78.112724,81
78.741425,85
79.284836,88
77.99061,75
76.46826,76
76.62888,75
74.23513,73
73.68671,76
75.810295,81
78.807594,79
75.21645,70
75.0839,70
75.26393,71
74.06875,68
72.596245,74
76.33642,77
77.82581,85
76.7576,90
80.69729,85
80.054985,83
78.430824,83
78.54287,82
78.84861,74
76.20316,68
69.06614,68
74.03593,69
73.2267,65
69.62769,64
68.67181,66
71.07561,73
75.932106,77
73.63453,77
76.80372,67
71.815895,76
75.59528,75
73.526115,78
76.61251,67
71.30294,72
71.69245,70
72.17043,72
74.10449,73
74.70201,66
69.88182,66
70.08009,66
69.22829,60
64.83075,66
70.50731,78
76.0019,77
75.31916,69
69.656525,70
71.21927,65
66.75318,67
66.25943,63
66.71521,62
66.32013,63
65.78989,63
65.07782,70
71.03079,66
67.832375,64
64.98551,71
71.32315,57
62.82927,59
63.61747,58
61.08131,63
65.75003,63
64.883575,61
61.44601,61
62.218857,58
62.82368,60
62.995804,62
62.854553,58
60.03589,61
62.957848,58
60.105766,64
64.6599,59
61.451775,64
65.520935,64
63.065166,55
57.086082,62
62.39086,69
64.812645,65
64.052956,56
56.876484,54
54.76481,57
58.206207,65
65.490166,69
63.133762,58
58.37957,63
62.592476,60
59.619164,70
65.19433,68
65.05426,62
59.54009,65
60.989864,61
58.406204,52
51.37606,60
59.306145,53
51.909344,50
50.431675,52
54.124744,57
55.270557,58
55.946533,57
57.427193,54
54.98439,51
51.778107,46
46.689743,51
53.033756,52
50.364025,52
50.616386,46
48.634876,49
51.466724,51
50.324623,53
49.59841,47
47.458576,46
46.497345,52
50.303368,44
43.760597,44
44.62433,43
43.323257,42
43.147808,42
42.494877,38
38.45497,43
44.293175,43
44.242683,39
40.757065,42
42.684296,39
39.881367,40
42.392586,33
36.81556,34
38.91969,39
41.157776,43
44.283653,55
51.561607,51
48.98009,45
44.976418,39
41.23216,37
41.897346,45
46.93755,45
46.36732,45
46.060726,48
47.4336,49
48.62691,57
52.74299,41
