predict,actual
75.54107,70
74.15473,75
75.49403,70
74.83483,78
75.49879,79
78.7642,88
78.295044,89
80.37333,83
79.12965,86
79.183044,80
77.875114,78
76.97877,75
75.4579,69
71.845,68
72.95065,67
71.05873,67
70.652466,67
72.63871,69
70.02246,71
75.9923,72
73.27299,78
77.22579,72
74.25377,73
74.03033,75
75.89192,81
76.078415,69
74.19639,73
73.41865,66
71.78658,69
72.28703,72
73.22342,65
70.84461,66
69.44183,68
72.638405,65
69.11428,69
71.4759,76
75.980064,76
74.92997,69
72.9374,68
70.18256,65
69.6625,68
70.33581,61
66.0124,66
68.40121,63
65.60314,62
67.274765,68
66.98526,61
68.05579,63
67.26821,66
68.26627,58
62.067593,58
62.56325,63
66.5638,66
66.73552,62
67.87151,59
63.922943,61
64.33284,59
62.51353,58
62.584774,63
66.10469,60
62.55038,61
65.08485,59
62.27232,62
64.18234,60
63.235027,60
62.95536,66
67.68528,56
59.44231,60
63.15182,64
63.968536,68
67.317085,57
58.796577,59
60.76919,56
57.051067,63
66.04825,63
64.48793,57
59.584766,63
63.49779,65
64.407715,71
68.66297,65
63.48679,65
66.92417,64
64.974625,58
58.72701,53
54.651035,57
58.930767,55
56.31806,51
54.124928,51
55.739246,54
55.346203,59
59.355724,56
57.027805,52
55.784367,56
56.90672,50
52.942013,50
53.91379,54
55.497707,53
53.37019,50
51.814117,54
56.49697,50
52.15592,54
53.089664,44
47.663593,51
53.904274,47
48.24419,47
47.898815,38
42.506435,44
46.39481,38
41.16277,41
46.0974,35
41.653725,45
46.273575,42
44.095776,41
45.414616,39
42.775944,41
43.729343,37
43.013905,36
41.963844,37
41.260433,38
41.92209,45
49.62084,51
51.953884,51
51.560192,45
50.034367,39
44.15745,43
45.770245,43
46.57184,40
46.201702,46
48.407745,50
52.005405,46
50.351864,58
56.59204,39
44.89999,47
50.588673,43
45.81464,41
43.77491,38
43.4314,43
49.12492,51
48.737873,45
50.520428,45
48.450016,49
49.395317,51
50.965412,44
48.86571,53
56.69523,55
53.122135,48
51.483852,49
51.722733,55
54.016483,52
52.136974,55
56.859837,50
54.80778,55
53.348915,50
52.345753,57
55.332825,49
48.918613,51
52.60631,50
53.714214,55
57.15306,59
56.134872,59
57.25561,49
50.563778,49
49.01633,49
49.036633,47
50.577827,48
52.708508,51
51.32669,47
51.130695,51
52.769268,45
47.879097,53
52.680256,55
56.783527,62
60.791023,52
52.380447,55
56.471977,59
57.839725,53
55.53067,59
59.954575,61
59.266285,52
55.317104,51
53.41046,52
52.521397,51
52.38175,51
54.911213,56
57.942345,61
59.743988,65
62.075027,57
56.36038,54
53.072987,55
55.85094,60
60.730907,54
53.97031,63
62.92491,59
59.40833,61
59.302074,59
57.740433,51
53.877937,54
56.95796,57
57.94054,53
56.45017,55
56.770687,49
51.825687,55
55.91343,51
55.60504,51
56.43632,57
58.021255,58
60.694767,66
64.12151,61
60.2229,56
57.19434,55
57.58267,55
59.544773,51
52.395397,51
54.81648,56
57.54182,60
59.61739,52
54.92436,54
58.155792,64
63.80052,67
65.75075,74
73.013756,70
67.59002,62
64.0045,66
65.093605,59
60.447426,55
59.23091,66
67.5501,81
75.747574,77
70.98108,66
65.91126,58
59.574696,58
61.249752,57
60.749157,62
63.11797,55
59.35948,59
60.81059,71
69.361496,74
72.67083,90
79.023544,79
74.33953,84
76.99655,71
69.174484,63
63.214554,67
66.59881,59
61.94318,63
64.72026,57
61.72657,61
62.787487,63
63.955067,60
61.288414,68
70.124245,81
76.61475,85
77.79607,75
73.563416,64
66.30075,67
69.8695,80
73.90914,80
75.5847,62
65.008965,64
67.28136,73
73.128456,84
77.20313,75
73.645355,84
75.976494,64
67.05723,59
63.44516,60
64.90718,68
69.81028,64
67.5158,62
67.262825,67
67.3845,59
62.49567,65
68.00627,67
70.08505,66
68.00544,69
70.50389,66
67.919495,66
67.165436,62
64.594246,60
63.976307,68
69.41786,79
76.39899,73
72.34814,71
74.29419,82
75.26397,83
77.76191,94
80.76092,90
79.47134,86
77.97668,66
69.044556,63
69.56589,69
70.74262,61
67.80917,69
72.332664,65
69.692154,64
69.543846,68
70.2899,72
74.878136,67
69.673225,67
71.41892,71
73.69195,75
75.45023,77
75.87859,75
75.08085,72
74.552124,69
71.01458,71
72.735466,82
78.59957,83
78.19218,77
76.530136,73
74.39256,75
77.28357,80
75.099144,76
76.44238,71
73.51946,71
73.15923,71
74.154785,77
74.99114,66
73.58282,72
72.89598,70
74.496956,72
75.22377,72
73.8959,74
76.169044,76
75.26008,75
77.014786,76
74.70211,73
75.96639,82
78.983604,71
74.59382,81
78.54551,82
77.69608,79
78.28179,71
72.712456,72
74.74916,77
77.69102,83
78.95472,82
78.87287,81
77.72281,85
79.45483,88
78.32807,75
75.53962,76
75.7953,75
74.86093,73
75.30625,76
73.85334,81
79.11967,79
75.34379,70
74.48704,70
74.04484,71
73.7637,68
73.70791,74
74.1367,77
78.14921,85
76.83236,90
80.509796,85
79.69021,83
78.622215,83
78.32911,82
78.340866,74
74.82422,68
70.73731,68
73.05216,69
71.98395,65
68.76852,64
69.78301,66
68.65289,73
76.38551,77
74.20841,77
76.57621,67
70.77086,76
75.17754,75
75.23263,78
74.96223,67
72.1327,72
72.37219,70
71.875786,72
73.38503,73
73.73156,66
70.98022,66
68.71075,66
70.08583,60
65.50456,66
69.611465,78
75.818596,77
74.43088,69
70.96075,70
70.588135,65
67.51127,67
68.54608,63
66.22657,62
65.083374,63
64.73484,63
66.41592,70
68.79466,66
69.32568,64
67.13334,71
71.300575,57
61.698215,59
62.313263,58
61.850132,63
64.50077,63
66.297775,61
63.411007,61
62.316166,58
61.682106,60
62.130093,62
63.928196,58
60.04133,61
64.05964,58
61.589615,64
64.802505,59
60.817776,64
64.728836,64
64.28274,55
57.14645,62
63.35434,69
66.76066,65
64.19756,56
56.299458,54
55.44918,57
58.015778,65
67.097824,69
66.01035,58
58.664062,63
62.15818,60
59.31296,70
67.329605,68
64.882225,62
62.214813,65
63.716885,61
59.59541,52
51.57439,60
59.43257,53
53.11088,50
50.94985,52
55.637486,57
57.513485,58
57.02371,57
57.173855,54
55.587173,51
52.681904,46
46.5377,51
54.4823,52
52.06721,52
51.684933,46
48.518612,49
52.79202,51
51.82349,53
51.47427,47
49.986942,46
49.673885,52
50.24748,44
44.555374,44
46.373165,43
44.40692,42
44.362507,42
45.515553,38
41.939346,43
44.21623,43
44.732944,39
43.426826,42
44.24252,39
40.526115,40
45.197277,33
40.256344,34
39.28902,39
41.957596,43
46.748814,55
52.806984,51
50.213604,45
48.213017,39
43.617702,37
42.319992,45
46.73327,45
48.73231,45
47.87157,48
47.606373,49
51.334644,57
55.00277,41
